vse_id,name,zip_code,city
105660,Elektrizitätswerk Dürrenäsch,5724,Dürrenäsch
105670,Elektrizitätsversorgung Kaisten,5082,Kaisten
105680,Services Industriels Moutier,2740,Moutier
105690,Elektrizitätsversorgung Beinwil am See,5712,Beinwil am See
105700,Genossenschaft Elektrizitätswerk Räterschen EWR,8352,Elsau
105710,Elektra Maisprach,4464,Maisprach
105720,Dorfkorporation Ebnat-Kappel,9642,Ebnat-Kappel
105730,Elektrizitätswerk Schafisheim,5503,Schafisheim
105740,Bielersee Kraftwerke AG (BIK),2501,Biel/Bienne
105750,Genossenschaft ELEKTRA Koppigen-Willadingen,3425,Koppigen
105760,Rhonewerke AG,1950,Sion
105770,Politische Gemeinde Bettwiesen,9553,Bettwiesen
105780,EW Elektra Auenhofen,8580,Hefenhofen
105790,AEW Energie AG,5000,Aarau
105800,Elektrizitäts-Genossenschaft Schönholzerswilen,8577,Schönholzerswilen
105810,Verband Schweizerischer Elektrizitätsunternehmen VSE,5000,Aarau
105820,EE-ENERGIA ENGIADINA,7550,Scuol
105830,Technische Betriebe Weinfelden AG,8570,Weinfelden
105840,Elektra-Genossenschaft Homburg,8508,Homburg
105850,Werkbetriebe Kefikon,8546,Kefikon TG
105860,AEW Energie AG,5000,Aarau
105870,Elektrizitätsversorgung Rebstein,9445,Rebstein
105880,Städtische Elektrizitätsversorgung Laufenburg,5080,Laufenburg
105890,BKW,4901,Langenthal
105900,Verband Schweizerischer Elektrizitätsunternehmen VSE,5000,Aarau
105910,Elektra Neukirch Egnach,9315,Neukirch (Egnach)
105920,WWZ Energie AG,6301,Zug
105930,Società Elettrica Sopracenerina SA (SES),6600,Locarno
105940,Eniwa Kraftwerk AG,5033,Buchs AG
105950,Axpo Power AG,5401,Baden
105960,Bas-Valais Energie SA,1110,Morges
105970,Verzasca S.A.,6900,Lugano
105980,Elektrizitätswerk Tschiertschen-Praden,7063,Praden
105990,Elektra Berg,9305,Berg SG
106000,EOF Energie Oberes Fricktal AG,5073,Gipf-Oberfrick
106010,Dorfgemeinde Willigen,3860,Meiringen
106020,Gemeinde Albula/Alvra,7450,Tiefencastel
106030,Elektrizitätswerk der Gemeinde Surses,7453,Tinizong
106040,Städtische Elektrizitätsversorgung Laufenburg,5080,Laufenburg
106050,AEW Energie AG,5000,Aarau
106060,Elektrizitätsanlage Bellmund EAB,2564,Bellmund
106070,Politische Gemeinde Kradolf-Schönenberg,9215,Schönenberg an der Thur
106080,tbgs - Technische Betriebe Glarus Süd,8762,Schwanden
106090,Engadiner Kraftwerke AG,7530,Zernez
106100,Elektra Schwanden i.E.,3433,Schwanden im Emmental
106110,Elektra-Genossenschaft Homburg,8508,Homburg
106120,EnBAG AG,3900,Brig
106130,EnBAG AG,3900,Brig
106140,Elektrizitätsgenossenschaft Rümikon,8352,Elsau
106150,EDF Alpes Investissements Sàrl,1920,Martigny
106160,IBC Energie Wasser Chur,7000,Chur
106170,Elektrizitätsversorgung Werk-Schlatt,8252,Schlatt TG
106180,EGW Weiach Elektrizitätsgenossenschaft,8192,Glattfelden
106190,Elektra Genossenschaft Kesswil,8593,Kesswil
106200,Elektrizitätswerk der Gemeinde Eischoll,3943,Eischoll
106210,EV Gebenstorf AG,5200,Brugg
106220,Elektrizitäts-Genossenschaft Merenschwand,5634,Merenschwand
