Ortschaftsname,PLZ,Zusatzziffer,Gemeindename,BFS-Nr,Kantonskürzel,E,N,Sprache
Neschwil,8484,2,Weisslingen,180,ZH,701817.33159577,254142.922140779,de
Theilingen,8484,3,Weisslingen,180,ZH,700291.520989615,253105.223599151,de
Rikon im Tösstal,8486,0,Weisslingen,180,ZH,701675.014195984,256120.753845971,de
Wila,8492,0,Wila,181,ZH,706184.072779312,253019.497624356,de
Saland,8493,0,Wila,181,ZH,707151.179954067,250526.920148586,de
Madetswil,8322,0,Wildberg,182,ZH,703085.574943194,252865.188359112,de
Turbenthal,8488,0,Wildberg,182,ZH,705067.724076043,255180.827485789,de
Wildberg,8489,0,Wildberg,182,ZH,703968.810603658,253880.733126631,de
Schalchen,8489,1,Wildberg,182,ZH,704728.566506765,251604.389080511,de
Ehrikon,8489,2,Wildberg,182,ZH,703407.816720557,252918.386070988,de
Gockhausen,8044,1,Dübendorf,191,ZH,687881.834012025,248707.587626165,de
Zürich,8051,0,Dübendorf,191,ZH,686849.428512914,249823.266918191,de
Dübendorf,8600,0,Dübendorf,191,ZH,689038.277135421,250030.748530518,de
Schwerzenbach,8603,0,Dübendorf,191,ZH,691188.149115091,249105.464534903,de
Forch,8127,0,Egg,192,ZH,692512.709734208,240141.473357796,de
Egg b. Zürich,8132,0,Egg,192,ZH,694746.336966735,239619.587395172,de
Hinteregg,8132,2,Egg,192,ZH,694192.262831102,240198.695782609,de
Esslingen,8133,0,Egg,192,ZH,696144.678074027,238274.495375547,de
Fällanden,8117,0,Fällanden,193,ZH,690612.915625706,247324.627413455,de
Pfaffhausen,8118,0,Fällanden,193,ZH,689479.712380752,246774.605859849,de
Benglen,8121,0,Fällanden,193,ZH,690550.686676775,246283.392879497,de
Greifensee,8606,2,Greifensee,194,ZH,693539.424430385,246753.642132408,de
Binz,8122,0,Maur,195,ZH,689783.396719917,245779.294170412,de
Ebmatingen,8123,0,Maur,195,ZH,690767.228095512,245208.417747032,de
Maur,8124,0,Maur,195,ZH,693274.636736393,243727.772968486,de
Forch,8127,0,Maur,195,ZH,691865.16812093,243349.659761924,de
Hinteregg,8132,2,Maur,195,ZH,694106.174236876,241424.467041658,de
Aathal-Seegräben,8607,0,Mönchaltorf,196,ZH,699767.336393653,242805.259024044,de
Mönchaltorf,8617,0,Mönchaltorf,196,ZH,697037.600866704,240713.195807117,de
Dübendorf,8600,0,Schwerzenbach,197,ZH,691467.018146143,249610.700034215,de
Schwerzenbach,8603,0,Schwerzenbach,197,ZH,691637.151213987,248370.655472373,de
Gutenswil,8605,0,Uster,198,ZH,696365.013970398,248112.137884974,de
Nänikon,8606,0,Uster,198,ZH,694769.260136928,247351.094869365,de
Uster,8610,0,Uster,198,ZH,696589.26777938,244675.21790397,de
Sulzbach,8614,2,Uster,198,ZH,698873.212631997,242834.554597353,de
Wermatswil,8615,0,Uster,198,ZH,698752.74395326,246518.044059832,de
Freudwil,8615,2,Uster,198,ZH,697835.479010022,247907.447886239,de
Riedikon,8616,0,Uster,198,ZH,696207.373831552,243187.175721756,de
Mönchaltorf,8617,0,Uster,198,ZH,698049.457210543,242595.601718602,de
Effretikon,8307,0,Volketswil,199,ZH,693870.755431833,251967.950529433,de
Volketswil,8604,0,Volketswil,199,ZH,694587.50606254,249446.794136442,de
Gutenswil,8605,0,Volketswil,199,ZH,696599.863296276,249044.561487815,de
Brüttisellen,8306,0,Wangen-Brüttisellen,200,ZH,689873.167076997,253172.667533128,de
Wangen b. Dübendorf,8602,0,Wangen-Brüttisellen,200,ZH,691157.972668128,251662.307178096,de
Altikon,8479,0,Altikon,211,ZH,701259.556293271,270261.403174544,de
Brütten,8311,0,Brütten,213,ZH,693140.024309174,258879.539542789,de
Rutschwil (Dägerlen),8471,0,Dägerlen,214,ZH,697210.296904344,268112.972688997,de
Dägerlen,8471,2,Dägerlen,214,ZH,696591.982571665,268588.050577422,de
Oberwil (Dägerlen),8471,3,Dägerlen,214,ZH,696157.456450792,269881.333797592,de
Berg (Dägerlen),8471,4,Dägerlen,214,ZH,697419.119820607,268915.511645377,de
Bänk (Dägerlen),8471,5,Dägerlen,214,ZH,697901.487761494,267217.371731479,de
Dättlikon,8421,0,Dättlikon,215,ZH,689281.814571274,264468.150218763,de
Dinhard,8474,0,Dinhard,216,ZH,700077.526977882,268013.16106127,de
Ellikon an der Thur,8548,0,Ellikon an der Thur,218,ZH,704362.99783479,268844.983715027,de
Elsau,8352,0,Elsau,219,ZH,702748.272865597,262604.341777715,de
Gerlikon,8500,4,Hagenbuch,220,ZH,708202.57394351,265097.24751338,de
Hagenbuch ZH,8523,0,Hagenbuch,220,ZH,709144.454672962,264371.956433662,de
Hettlingen,8442,0,Hettlingen,221,ZH,695561.288049951,267179.595573195,de
Aesch (Neftenbach),8412,0,Neftenbach,223,ZH,693409.502893665,266354.886439224,de
Riet (Neftenbach),8412,1,Neftenbach,223,ZH,693979.747290706,265828.50898838,de
Hünikon (Neftenbach),8412,2,Neftenbach,223,ZH,692551.103090738,267549.909420722,de
Neftenbach,8413,0,Neftenbach,223,ZH,692562.863294548,264927.468804049,de
Pfungen,8422,0,Pfungen,224,ZH,690981.59837639,263492.777040806,de
Rickenbach ZH,8545,0,Rickenbach (ZH),225,ZH,702011.60469385,267628.473196385,de
Rickenbach Sulz,8545,1,Rickenbach (ZH),225,ZH,701579.383460696,266425.513012766,de
Hofstetten ZH,8354,0,Schlatt (ZH),226,ZH,705609.808822107,258946.897073076,de
Winterthur,8405,0,Schlatt (ZH),226,ZH,702519.122083177,258748.010914187,de
Schlatt ZH,8418,0,Schlatt (ZH),226,ZH,704589.350558277,258388.766132174,de
Seuzach,8472,0,Seuzach,227,ZH,697860.494713958,265866.447905419,de
Bichelsee,8363,0,Turbenthal,228,ZH,711847.594130254,254751.728190338,de
Turbenthal,8488,0,Turbenthal,228,ZH,706270.023677366,254772.152427653,de
Wila,8492,0,Turbenthal,228,ZH,708001.075801436,252088.602128898,de
Schmidrüti,8495,0,Turbenthal,228,ZH,710538.297673225,252587.370631825,de
Kemptthal,8310,0,Winterthur,230,ZH,696290.897095511,257493.004736079,de
Ricketwil (Winterthur),8352,2,Winterthur,230,ZH,702668.388013873,260354.338579558,de
Winterthur,8400,0,Winterthur,230,ZH,697278.20820078,260895.768734037,de
Winterthur,8404,0,Winterthur,230,ZH,699484.483765084,262695.427231654,de
Reutlingen (Winterthur),8404,2,Winterthur,230,ZH,698852.097597159,264961.977968726,de
Stadel (Winterthur),8404,3,Winterthur,230,ZH,699602.887086024,265707.716391321,de
Winterthur,8405,0,Winterthur,230,ZH,700976.019498958,259392.893244547,de
Winterthur,8406,0,Winterthur,230,ZH,695113.857164998,259926.751966146,de
Winterthur,8408,0,Winterthur,230,ZH,693768.03584538,262631.322294046,de
Winterthur,8409,0,Winterthur,230,ZH,701154.734062798,262985.120723491,de
Sennhof (Winterthur),8482,0,Winterthur,230,ZH,699465.646830918,258435.026180974,de
Wiesendangen,8542,0,Winterthur,230,ZH,700835.028207858,265406.494213814,de
Rickenbach Sulz,8545,1,Winterthur,230,ZH,701190.631320391,265803.68642412,de
Kollbrunn,8483,0,Zell (ZH),231,ZH,700890.513489998,257139.268006414,de
Rikon im Tösstal,8486,0,Zell (ZH),231,ZH,702433.810262251,255767.771572509,de
Zell ZH,8487,0,Zell (ZH),231,ZH,704381.409707381,256224.415445541,de
Rämismühle,8487,1,Zell (ZH),231,ZH,704122.395390643,255446.804579902,de
Aesch ZH,8904,0,Aesch (ZH),241,ZH,675546.223609374,243425.030258646,de
Uitikon Waldegg,8142,0,Birmensdorf (ZH),242,ZH,677563.482696916,245508.393165041,de
Birmensdorf ZH,8903,0,Birmensdorf (ZH),242,ZH,675747.826312485,245018.501457275,de
Dietikon,8953,0,Dietikon,243,ZH,672845.709642974,250902.842404609,de
Fahrweid,8951,0,Geroldswil,244,ZH,673726.017845551,251525.763024338,de
Geroldswil,8954,0,Geroldswil,244,ZH,673323.257626491,252856.906556039,de
Oberengstringen,8102,0,Oberengstringen,245,ZH,677265.882226564,251343.60744597,de
Oetwil an der Limmat,8955,0,Oetwil an der Limmat,246,ZH,672155.00416342,253478.645265287,de
Urdorf,8902,0,Schlieren,247,ZH,675234.284222363,249346.783545521,de
Schlieren,8952,0,Schlieren,247,ZH,676032.076148034,250019.006531921,de
Uitikon Waldegg,8142,0,Uitikon,248,ZH,676687.440509669,247163.957184932,de
