Ortschaftsname,PLZ,Zusatzziffer,Gemeindename,BFS-Nr,Kantonskürzel,E,N,Sprache
Savognin,7460,0,Surses,3543,GR,765806.700718008,162772.202559625,rm
Salouf,7462,0,Surses,3543,GR,763655.562879899,165931.374877876,rm
Riom,7463,0,Surses,3543,GR,764249.97646074,164067.446385741,rm
Riom,7463,0,Surses,3543,GR,764955.859956789,166936.254906948,rm
Parsonz,7464,0,Surses,3543,GR,763236.978069198,164159.187469565,rm
Filisur,7477,0,Bergün Filisur,3544,GR,772144.937619104,171700.262702902,rm
Bergün/Bravuogn,7482,0,Bergün Filisur,3544,GR,776593.244221928,166811.235055266,rm
Preda,7482,1,Bergün Filisur,3544,GR,779207.856225102,162337.008024443,rm
Stugl/Stuls,7482,2,Bergün Filisur,3544,GR,775502.185188948,169131.839612072,rm
Latsch,7484,0,Bergün Filisur,3544,GR,777129.390799745,167333.255669087,rm
Davos Wiesen,7494,0,Bergün Filisur,3544,GR,774746.804581534,173983.866313579,de
Brusio,7743,0,Brusio,3551,GR,807045.137114949,126556.05443985,it
Miralago,7743,2,Brusio,3551,GR,805262.727835481,128114.882464384,it
Campocologno,7744,0,Brusio,3551,GR,808494.478590345,123800.469167444,it
Viano,7747,0,Brusio,3551,GR,808258.086647365,126062.137288282,it
Campascio,7748,0,Brusio,3551,GR,807519.112443965,125091.987281609,it
Ospizio Bernina,7710,0,Poschiavo,3561,GR,798601.112714202,143192.53261132,it
Alp Grüm,7710,2,Poschiavo,3561,GR,799569.054558548,139232.345895133,it
S. Carlo (Poschiavo),7741,0,Poschiavo,3561,GR,802100.223415919,135869.022727313,it
Poschiavo,7742,0,Poschiavo,3561,GR,801993.246939503,133837.096820283,it
Sfazù,7742,2,Poschiavo,3561,GR,803222.399201775,140940.014711931,it
La Rösa,7742,3,Poschiavo,3561,GR,802236.486353876,142272.314521429,it
Miralago,7743,2,Poschiavo,3561,GR,805170.469213939,128109.042635656,it
Li Curt,7745,0,Poschiavo,3561,GR,802100.336314877,132190.606960405,it
Le Prese,7746,0,Poschiavo,3561,GR,803540.068770204,130289.292440796,it
Laax GR 2,7032,0,Falera,3572,GR,733767.61136121,189853.05665712,rm
Falera,7153,0,Falera,3572,GR,736863.006225227,184797.603529251,rm
Laax GR,7031,0,Laax,3575,GR,738529.268805702,185263.989311625,rm
Laax GR 2,7032,0,Laax,3575,GR,739286.417161488,187268.556844825,rm
Sagogn,7152,0,Sagogn,3581,GR,738601.577976951,183586.878335334,rm
Schluein,7151,0,Schluein,3582,GR,736640.479616779,183519.515536241,rm
St. Martin (Lugnez),7116,2,Vals,3603,GR,733511.346199123,170647.002587597,de
Vals,7132,0,Vals,3603,GR,733222.681511089,164509.532127606,de
Peiden,7110,0,Lumnezia,3618,GR,734347.389848615,175817.953803959,rm
Camuns,7113,0,Lumnezia,3618,GR,734489.233698637,173993.870104009,rm
Uors (Lumnezia),7114,0,Lumnezia,3618,GR,733407.82368933,173711.121713845,rm
Surcasti,7115,0,Lumnezia,3618,GR,732937.776247931,173202.785165791,rm
Tersnaus,7116,0,Lumnezia,3618,GR,733551.82164551,172815.343084252,rm
Cumbel,7142,0,Lumnezia,3618,GR,734019.689569536,176479.435396553,rm
Morissen,7143,0,Lumnezia,3618,GR,733157.291771867,176884.607922214,rm
Vella,7144,0,Lumnezia,3618,GR,732637.189809142,175544.437534325,rm
Degen,7145,0,Lumnezia,3618,GR,732239.448312753,174199.681644076,rm
Vattiz,7146,0,Lumnezia,3618,GR,731640.332967391,174274.166889235,rm
Vignogn,7147,0,Lumnezia,3618,GR,731373.032559101,173446.01057956,rm
Lumbrein,7148,0,Lumnezia,3618,GR,729842.717805038,171656.337183436,rm
Vrin,7149,0,Lumnezia,3618,GR,727106.103464658,168447.084016247,rm
Pitasch,7111,0,Ilanz/Glion,3619,GR,735915.867077176,177056.548962636,rm
Duvin,7112,0,Ilanz/Glion,3619,GR,735523.670763788,175307.193801157,rm
Castrisch,7126,0,Ilanz/Glion,3619,GR,736912.349836208,182219.306491837,rm
Sevgein,7127,0,Ilanz/Glion,3619,GR,736165.414242627,180898.037860343,rm
Riein,7128,0,Ilanz/Glion,3619,GR,737120.226581723,178581.665598985,rm
Ilanz,7130,0,Ilanz/Glion,3619,GR,734759.133082818,181744.045405843,rm
Schnaus,7130,2,Ilanz/Glion,3619,GR,733027.615802371,182135.621008943,rm
Schnaus,7130,2,Ilanz/Glion,3619,GR,732962.090799171,187184.057467352,rm
Luven,7141,0,Ilanz/Glion,3619,GR,734457.798120176,180532.015092578,rm
Ruschein,7154,0,Ilanz/Glion,3619,GR,733864.910572788,183044.612177641,rm
Ladir,7155,0,Ilanz/Glion,3619,GR,732439.091637828,189009.855308109,rm
Ladir,7155,0,Ilanz/Glion,3619,GR,734828.239531186,183563.925152305,rm
Rueun,7156,0,Ilanz/Glion,3619,GR,730841.584310829,182241.792827316,rm
Pigniu,7156,1,Ilanz/Glion,3619,GR,728079.97779348,185558.595404263,rm
Siat,7157,0,Ilanz/Glion,3619,GR,731686.574294654,183638.965885777,rm
Fürstenaubruck,7413,0,Fürstenau,3633,GR,753800.64948558,175596.379657454,rm
Fürstenau,7414,0,Fürstenau,3633,GR,753659.128583242,176327.856598851,rm
Rothenbrunnen,7405,0,Rothenbrunnen,3637,GR,751845.816165239,181744.647163496,rm
Scharans,7412,0,Scharans,3638,GR,754485.289429191,176078.447310937,rm
Sils im Domleschg,7411,0,Sils im Domleschg,3640,GR,754158.265761001,174050.648135218,de
Rothenbrunnen,7405,0,Cazis,3661,GR,751080.458655241,181470.724171278,rm
Cazis,7408,0,Cazis,3661,GR,752204.395938902,176372.04696017,rm
Rodels,7415,0,Cazis,3661,GR,752540.840243105,177923.764961153,rm
Summaprada,7421,0,Cazis,3661,GR,752522.476275102,175595.812993371,de
Tartar,7422,0,Cazis,3661,GR,751331.89579433,176078.971955903,rm
Sarn,7423,0,Cazis,3661,GR,750692.81796954,176167.024861836,rm
Portein,7423,2,Cazis,3661,GR,750498.533055702,175312.647241197,rm
Präz,7424,0,Cazis,3661,GR,750333.669154245,178615.776134484,rm
Dalin,7424,1,Cazis,3661,GR,750226.585986468,177872.364762836,rm
Flerden,7426,0,Flerden,3662,GR,749690.285491628,171146.973505131,rm
Flerden,7426,0,Flerden,3662,GR,750378.569885223,174384.44783699,rm
Summaprada,7421,0,Masein,3663,GR,751822.978755894,175145.921903051,de
Masein,7425,0,Masein,3663,GR,752029.97137654,174568.279175375,de
Thusis,7430,0,Thusis,3668,GR,752974.074771216,173413.004897218,de
Mutten,7431,1,Thusis,3668,GR,757691.162409313,171860.598434943,de
Obermutten,7431,2,Thusis,3668,GR,756459.112088471,171008.270050672,de
Tschappina,7428,0,Tschappina,3669,GR,747904.819715063,172432.373361296,de
Urmein,7427,0,Urmein,3670,GR,750071.736166719,173050.319559344,de
Versam,7104,0,Safiental,3672,GR,744872.890233937,184316.804352027,de
Tenna,7106,0,Safiental,3672,GR,744985.340660449,179118.333753737,de
Safien Platz,7107,0,Safiental,3672,GR,743604.851646165,171834.25452641,de
Thalkirch,7109,0,Safiental,3672,GR,741001.028667086,166833.306534298,de
Valendas,7122,0,Safiental,3672,GR,740739.096444971,183576.731514213,de
Bonaduz,7402,0,Safiental,3672,GR,747221.041592497,181253.014158998,de
Feldis/Veulden,7404,0,Domleschg,3673,GR,752226.255259925,184316.448028,rm
Trans,7407,0,Domleschg,3673,GR,754672.88840124,181190.798531718,rm
Rodels,7415,0,Domleschg,3673,GR,753339.593186433,177987.900328086,rm
Pratval,7415,2,Domleschg,3673,GR,753403.46765903,177586.399162892,rm
Almens,7416,0,Domleschg,3673,GR,754407.076787895,178307.378762895,rm
Paspels,7417,0,Domleschg,3673,GR,753256.057597707,179651.394692834,rm
Tumegl/Tomils,7418,0,Domleschg,3673,GR,752872.585262684,180851.634649212,rm
Scheid,7419,0,Domleschg,3673,GR,753672.678326151,182734.510959871,rm
Avers,7447,0,Avers,3681,GR,759371.029881636,148978.133992608,de
Juf,7448,0,Avers,3681,GR,764517.139824323,146019.737243335,de
Sufers,7434,0,Sufers,3695,GR,747819.053923022,159696.870562406,de
Andeer,7440,0,Andeer,3701,GR,752164.958231257,163082.721113233,rm
Clugin,7442,0,Andeer,3701,GR,752163.155411156,164709.353427149,rm
Pignia,7443,0,Andeer,3701,GR,753389.54206067,164436.558720904,rm
Rongellen,7430,2,Rongellen,3711,GR,753379.858806541,171104.242231007,rm
Zillis,7432,0,Zillis-Reischen,3712,GR,753484.937430949,166893.613552712,rm
Ausserferrera,7444,0,Ferrera,3713,GR,753580.885643794,158187.415390586,rm
Innerferrera,7445,0,Ferrera,3713,GR,754860.156904408,149889.349328268,rm
Innerferrera,7445,0,Ferrera,3713,GR,753304.90134116,154276.470227337,rm
Splügen,7435,0,Rheinwald,3714,GR,744566.679211231,157603.140845341,de
Medels im Rheinwald,7436,0,Rheinwald,3714,GR,742267.591391511,156683.745054075,de
Nufenen,7437,0,Rheinwald,3714,GR,738582.525258617,155980.555004176,de
Hinterrhein,7438,0,Rheinwald,3714,GR,734892.564886057,154928.554886126,de
Donat,7433,0,Muntogna da Schons,3715,GR,752513.908878985,166110.616154334,rm
Lohn GR,7433,3,Muntogna da Schons,3715,GR,752184.606296981,168550.394833349,rm
Mathon,7433,4,Muntogna da Schons,3715,GR,751366.320155044,166901.767700355,rm
Wergenstein,7433,5,Muntogna da Schons,3715,GR,750559.396849774,165709.327165288,rm
Bonaduz,7402,0,Bonaduz,3721,GR,749867.882218708,186395.575766696,de
Domat/Ems,7013,0,Domat/Ems,3722,GR,753530.579381184,189190.545129901,rm
Rhäzüns,7403,0,Rhäzüns,3723,GR,749489.270153281,184925.263150415,rm
Felsberg,7012,0,Felsberg,3731,GR,754970.270218886,190261.017718821,de
Flims Dorf,7017,0,Flims,3732,GR,740787.73033676,189045.535682699,rm
Flims Waldhaus,7018,0,Flims,3732,GR,741354.623027016,188119.062240562,rm
Fidaz,7019,0,Flims,3732,GR,742687.709178677,189439.235598768,rm
Tamins,7015,0,Tamins,3733,GR,750242.37972936,188337.858917142,de
Vättis,7315,0,Tamins,3733,GR,749677.701912863,193565.600949812,de
Trin,7014,0,Trin,3734,GR,746855.176118752,188388.901862368,rm
Tamins,7015,0,Trin,3734,GR,748302.480383886,188268.354461269,de
Trin Mulin,7016,0,Trin,3734,GR,744773.355786385,188426.915546521,rm
Davos Dorf,7260,0,Zernez,3746,GR,791724.589409468,180828.530339016,de
Brail,7527,0,Zernez,3746,GR,798814.545361853,170530.200854853,rm
Zernez,7530,0,Zernez,3746,GR,803144.885482938,175446.101047531,rm
Susch,7542,0,Zernez,3746,GR,801568.17461295,180936.485795055,rm
Lavin,7543,0,Zernez,3746,GR,804252.396234265,183368.075488179,rm
Samnaun-Compatsch,7562,0,Samnaun,3752,GR,825357.22162972,205384.20378654,de
Samnaun Dorf,7563,0,Samnaun,3752,GR,822490.901438238,203042.163596422,de
Guarda,7545,0,Scuol,3762,GR,807200.830979613,184021.696613142,rm
Ardez,7546,0,Scuol,3762,GR,811010.449607688,184191.534212373,rm
Scuol,7550,0,Scuol,3762,GR,818757.387453024,186521.77233819,rm
Ftan,7551,0,Scuol,3762,GR,814293.875477958,186606.094055771,rm
Vulpera,7552,0,Scuol,3762,GR,817386.591070153,185731.213806721,rm
Tarasp,7553,0,Scuol,3762,GR,815792.415158827,184394.347700189,rm
Sent,7554,0,Scuol,3762,GR,821130.170177048,189050.498952075,rm
Vnà,7557,0,Scuol,3762,GR,820411.990682142,195313.429132275,rm
Ramosch,7556,0,Valsot,3764,GR,813755.791946262,198278.63336258,rm
Ramosch,7556,0,Valsot,3764,GR,824519.083667003,191229.623473139,rm
Vnà,7557,0,Valsot,3764,GR,823055.299553298,192148.827859002,rm
Strada,7558,0,Valsot,3764,GR,828417.765947324,194525.934524194,rm
Tschlin,7559,0,Valsot,3764,GR,827711.980606647,195450.824642616,rm
Martina,7560,0,Valsot,3764,GR,830502.219001056,197024.450838159,rm
Bever,7502,0,Bever,3781,GR,775742.014153687,155595.595519452,rm
Bever,7502,0,Bever,3781,GR,787910.50704518,158608.700159432,rm
St. Moritz,7500,0,Celerina/Schlarigna,3782,GR,786271.125291616,152306.033453124,rm
Pontresina,7504,0,Celerina/Schlarigna,3782,GR,788559.529862215,151942.294603391,rm
Celerina/Schlarigna,7505,0,Celerina/Schlarigna,3782,GR,786005.943162751,154092.722378829,rm
Madulain,7523,0,Madulain,3783,GR,796467.099019666,152753.258914879,rm
Madulain,7523,0,Madulain,3783,GR,791445.109340395,162406.112631234,rm
Pontresina,7504,0,Pontresina,3784,GR,789127.857310553,152101.866535288,rm
La Punt Chamues-ch,7522,0,La Punt Chamues-ch,3785,GR,790842.635314318,161502.728398597,rm
Samedan,7503,0,Samedan,3786,GR,786539.375068099,156513.766551493,rm
Pontresina,7504,0,Samedan,3786,GR,786327.952323626,143511.433331672,rm
St. Moritz,7500,0,St. Moritz,3787,GR,784316.041702588,152498.575883747,rm
Champfèr,7512,0,St. Moritz,3787,GR,782404.173225618,150323.070642445,rm
S-chanf,7525,0,S-chanf,3788,GR,795031.484837885,165679.63480006,rm
Cinuos-chel,7526,0,S-chanf,3788,GR,797845.409292137,168851.791180409,rm
Chapella,7526,1,S-chanf,3788,GR,796907.209610777,167894.407675271,rm
Sils/Segl Maria,7514,0,Sils im Engadin/Segl,3789,GR,778688.0810506,144611.638585377,rm
Fex,7514,2,Sils im Engadin/Segl,3789,GR,778506.030364695,143489.042790812,rm
Sils/Segl Baselgia,7515,0,Sils im Engadin/Segl,3789,GR,778010.458692887,145222.441583182,rm
Plaun da Lej,7517,0,Sils im Engadin/Segl,3789,GR,775700.519510808,143723.621044849,rm
Champfèr,7512,0,Silvaplana,3790,GR,782120.791434091,150176.239136866,rm
Silvaplana,7513,0,Silvaplana,3790,GR,781006.741107484,148064.031942388,rm
Silvaplana-Surlej,7513,2,Silvaplana,3790,GR,782451.469700793,148107.677667176,rm
Zuoz,7524,0,Zuoz,3791,GR,792874.479517249,164219.640742465,rm
Zuoz,7524,0,Zuoz,3791,GR,787504.580813893,165190.300176824,rm
Avers,7447,0,Bregaglia,3792,GR,758845.492835263,140999.034561806,de
Maloja,7516,0,Bregaglia,3792,GR,773586.011584497,141497.65024064,it
Casaccia,7602,0,Bregaglia,3792,GR,771293.017189778,140159.58790272,it
Vicosoprano,7603,0,Bregaglia,3792,GR,768059.884756244,135614.902326641,it
Borgonovo,7604,0,Bregaglia,3792,GR,766659.252921229,135238.393973216,it
Stampa,7605,0,Bregaglia,3792,GR,765655.680287111,134718.800983541,it
Promontogno,7606,0,Bregaglia,3792,GR,763183.679762631,133996.264116676,it
Bondo,7606,1,Bregaglia,3792,GR,762890.634764663,133638.748369483,de
Castasegna,7608,0,Bregaglia,3792,GR,759952.770387551,133509.259528748,it
Soglio,7610,0,Bregaglia,3792,GR,761707.6576992,134353.92056025,it
Buseno,6542,0,Buseno,3804,GR,728626.032706414,125961.205259397,it
Grono,6537,0,Castaneda,3805,GR,731526.661135772,123667.460776952,it
Castaneda,6540,0,Castaneda,3805,GR,731219.037026383,124265.473680738,it
Sta. Maria in Calanca,6541,0,Castaneda,3805,GR,729848.700869031,125300.322078257,it
Rossa,6548,0,Rossa,3808,GR,729908.848641732,137115.243791842,it
Augio,6548,1,Rossa,3808,GR,729898.515805734,136211.396100881,it
Sta. Domenica,6548,2,Rossa,3808,GR,729631.928410322,134773.635307498,it
Sta. Maria in Calanca,6541,0,Santa Maria in Calanca,3810,GR,731548.453828183,124940.417194564,it
Lostallo,6558,0,Lostallo,3821,GR,735238.854218315,130535.493817954,it
Mesocco,6563,0,Mesocco,3822,GR,737832.451768915,139509.492013863,it
S. Bernardino,6565,0,Mesocco,3822,GR,734707.751335233,147228.024954957,it
Soazza,6562,0,Soazza,3823,GR,737295.467111761,136621.060054311,it
Cama,6557,0,Cama,3831,GR,733700.887736785,126000.000798054,it
Grono,6537,0,Grono,3832,GR,731588.95796067,123221.491333362,it
Verdabbio,6538,0,Grono,3832,GR,738425.903966914,125250.737365474,it
Verdabbio,6538,0,Grono,3832,GR,732529.83499568,125540.406644036,it
Leggia,6556,0,Grono,3832,GR,733056.978562212,124743.675510951,it
Cama,6557,0,Grono,3832,GR,733718.08961059,127556.558244003,it
Roveredo GR,6535,0,Roveredo (GR),3834,GR,729696.091127765,121574.682814194,it
Laura,6549,0,Roveredo (GR),3834,GR,728599.964546265,119354.766229131,it
Lumino,6533,0,San Vittore,3835,GR,726257.445459086,121707.24381993,it
S. Vittore,6534,0,San Vittore,3835,GR,733096.798507953,116435.626822804,it
S. Vittore,6534,0,San Vittore,3835,GR,728921.615649415,122150.211920764,it
Arvigo,6543,0,Calanca,3837,GR,729022.063958277,129248.786729452,it
Braggio,6544,0,Calanca,3837,GR,729800.9766868,129378.443051058,it
Selma,6545,0,Calanca,3837,GR,729619.19934121,131151.248193059,it
Cauco,6546,0,Calanca,3837,GR,729556.140679031,132908.670394248,it
Tschierv,7532,0,Val Müstair,3847,GR,822218.891616024,167799.665996609,rm
Fuldera,7533,0,Val Müstair,3847,GR,824629.932439183,166130.048749397,rm
Lü,7534,0,Val Müstair,3847,GR,824401.907946788,167657.037821076,rm
Valchava,7535,0,Val Müstair,3847,GR,827510.710048371,165298.938894151,rm
Sta. Maria Val Müstair,7536,0,Val Müstair,3847,GR,828598.496414065,165466.587005272,rm
Müstair,7537,0,Val Müstair,3847,GR,830224.236693671,167796.772377302,rm
Davos Dorf,7260,0,Davos,3851,GR,783246.722415238,187016.977940564,de
Davos Wolfgang,7265,0,Davos,3851,GR,784295.062067835,189600.756058156,de
Davos Platz,7270,0,Davos,3851,GR,781950.775430302,185220.789737135,de
Davos Clavadel,7272,0,Davos,3851,GR,781589.906111323,182301.011933338,de
Davos Frauenkirch,7276,0,Davos,3851,GR,780241.897938708,182443.286530883,de
Davos Glaris,7277,0,Davos,3851,GR,778647.971842144,179308.451404449,de
Davos Monstein,7278,0,Davos,3851,GR,778312.731839232,176070.686741046,de
Davos Wiesen,7494,0,Davos,3851,GR,774025.682491105,175025.478486051,de
Fideris,7235,0,Fideris,3861,GR,775315.067073396,198449.144130153,de
Furna,7232,0,Furna,3862,GR,770568.593302985,200864.906993347,de
Pragg-Jenaz,7231,0,Jenaz,3863,GR,772433.310460307,201089.355043513,de
Jenaz,7233,0,Jenaz,3863,GR,773474.958101975,199778.267658097,de
Saas im Prättigau,7247,0,Klosters,3871,GR,780272.244480808,198247.706040006,de
Serneus,7249,0,Klosters,3871,GR,783000.150531445,196086.288659839,de
Klosters,7250,0,Klosters,3871,GR,786259.977725818,193926.741995768,de
Klosters Dorf,7252,0,Klosters,3871,GR,785683.833806377,195383.320792314,de
Davos Wolfgang,7265,0,Klosters,3871,GR,785722.930605424,191819.902739545,de
Conters im Prättigau,7241,0,Conters im Prättigau,3881,GR,779820.65275753,197383.662074868,de
Küblis,7240,0,Küblis,3882,GR,778108.564099192,198556.664343537,de
Lunden,7222,0,Luzein,3891,GR,774639.068325365,202316.165762365,de
Buchen im Prättigau,7223,0,Luzein,3891,GR,773578.375663335,201329.010183636,de
Putz,7224,0,Luzein,3891,GR,775430.091164771,199799.319236105,de
Stels,7226,0,Luzein,3891,GR,775879.364589679,203662.463912373,de
Küblis,7240,0,Luzein,3891,GR,777130.423182514,198460.971233206,de
Luzein,7242,0,Luzein,3891,GR,777368.541488891,199105.06150978,de
Pany,7243,0,Luzein,3891,GR,777636.117890108,200061.328714913,de
Gadenstätt,7244,0,Luzein,3891,GR,779228.376035641,201952.850256189,de
Ascharina,7245,0,Luzein,3891,GR,780250.532355652,203448.453233998,de
St. Antönien,7246,0,Luzein,3891,GR,780738.300935066,204780.378045624,de
Chur,7000,0,Chur,3901,GR,759706.120831426,190691.326506536,de
Haldenstein,7023,0,Chur,3901,GR,758786.657131022,194116.775122878,de
Maladers,7026,0,Chur,3901,GR,761863.473694893,189472.606149836,de
Malix,7074,0,Chur,3901,GR,759298.50187,189139.565165432,de
Chur,7000,0,Churwalden,3911,GR,760821.039693015,189011.650366943,de
Passugg,7062,0,Churwalden,3911,GR,760840.461408625,188728.077831009,de
Malix,7074,0,Churwalden,3911,GR,759671.231847226,186872.932565555,de
Churwalden,7075,0,Churwalden,3911,GR,760797.484719242,183217.046314926,de
Parpan,7076,0,Churwalden,3911,GR,761860.762964213,181061.101815153,de
Castiel,7027,0,Arosa,3921,GR,764999.102463104,189753.586291361,de
Lüen,7027,1,Arosa,3921,GR,765873.581579044,189159.51470365,de
Calfreisen,7027,3,Arosa,3921,GR,764473.527815957,190061.45859393,de
St. Peter,7028,0,Arosa,3921,GR,768218.12371816,189384.735561938,de
Pagig,7028,1,Arosa,3921,GR,767661.7074061,189677.377680674,de
Peist,7029,0,Arosa,3921,GR,770509.905531291,189301.215026507,de
Arosa,7050,0,Arosa,3921,GR,770818.225216739,183115.671857254,de
Molinis,7056,0,Arosa,3921,GR,769102.151834424,188626.279180906,de
Langwies,7057,0,Arosa,3921,GR,773549.357835661,187989.32223798,de
Litzirüti,7058,0,Arosa,3921,GR,772816.951239986,185474.482877697,de
Praden,7063,0,Tschiertschen-Praden,3932,GR,763500.367943278,188224.776020327,de
Tschiertschen,7064,0,Tschiertschen-Praden,3932,GR,765454.482486343,187475.198370643,de
Says,7202,0,Trimmis,3945,GR,762768.780933828,196935.037319417,de
Trimmis,7203,0,Trimmis,3945,GR,761936.141630238,196072.481174583,de
Valzeina,7213,0,Trimmis,3945,GR,767164.880590251,196369.815741524,de
Untervaz,7204,0,Untervaz,3946,GR,759645.593017839,199479.764514178,de
Zizers,7205,0,Zizers,3947,GR,761972.761755987,200590.930104077,de
Landquart,7302,0,Zizers,3947,GR,760773.679568269,203549.588047084,de
Maienfeld,7304,0,Fläsch,3951,GR,762449.539724111,212294.717422455,de
Fläsch,7306,0,Fläsch,3951,GR,757742.86206444,210384.256819404,de
Jenins,7307,0,Jenins,3952,GR,761018.42279163,207729.651269489,de
Landquart,7302,0,Maienfeld,3953,GR,761093.520905347,204263.372125488,de
Maienfeld,7304,0,Maienfeld,3953,GR,759131.787916156,208448.508513073,de
Malans GR,7208,0,Malans,3954,GR,762468.225685562,205628.8326564,de
Untervaz,7204,0,Landquart,3955,GR,760047.910956796,201814.997198142,de
Igis,7206,0,Landquart,3955,GR,762380.943161118,201561.678671199,de
Landquart,7302,0,Landquart,3955,GR,761327.899351005,203567.486472512,de
Mastrils,7303,0,Landquart,3955,GR,760200.536515394,204024.122227353,de
St. Margrethenberg,7313,0,Landquart,3955,GR,758548.571473306,203135.492742476,de
Valzeina,7213,0,Grüsch,3961,GR,764756.281096157,202261.950307471,de
Grüsch,7214,0,Grüsch,3961,GR,767995.576607387,205851.374424316,de
Fanas,7215,0,Grüsch,3961,GR,769479.749350532,206116.367778938,de
Grüsch,7214,0,Schiers,3962,GR,769242.703227647,205262.591586249,de
Schiers,7220,0,Schiers,3962,GR,777309.711920713,207552.085786484,de
Schiers,7220,0,Schiers,3962,GR,771178.404233544,204581.493975652,de
Lunden,7222,0,Schiers,3962,GR,773036.196155955,202197.02590734,de
Stels,7226,0,Schiers,3962,GR,779409.76068779,209283.854623204,de
Stels,7226,0,Schiers,3962,GR,773278.415730688,204116.736953694,de
Fajauna,7226,2,Schiers,3962,GR,772113.675423461,204546.325780322,de
Schuders,7228,0,Schiers,3962,GR,774917.411517967,207011.840640981,de
Pusserein,7228,1,Schiers,3962,GR,772852.365071847,206111.093919061,de
Seewis Dorf,7212,0,Seewis im Prättigau,3972,GR,767421.250252172,206642.404059843,de
Seewis-Pardisla,7212,1,Seewis im Prättigau,3972,GR,766850.923857381,205274.960352402,de
Seewis-Schmitten,7212,2,Seewis im Prättigau,3972,GR,767518.91216685,205605.432082326,de
Fanas,7215,0,Seewis im Prättigau,3972,GR,768604.196522971,209583.771898293,de
Obersaxen,7134,0,Breil/Brigels,3981,GR,721831.507207036,178075.958996133,de
Waltensburg/Vuorz,7158,0,Breil/Brigels,3981,GR,728216.429993743,182031.807013216,rm
Andiast,7159,0,Breil/Brigels,3981,GR,728218.611946197,183132.486555096,rm
Tavanasa,7162,0,Breil/Brigels,3981,GR,724077.117225788,179464.897858233,rm
Danis,7163,0,Breil/Brigels,3981,GR,723656.194011725,179445.724806779,rm
Dardin,7164,0,Breil/Brigels,3981,GR,722623.982839842,179668.085879,rm
Breil/Brigels,7165,0,Breil/Brigels,3981,GR,723950.552178357,180947.702643144,rm
Disentis/Mustér,7180,0,Disentis/Mustér,3982,GR,708042.827409802,173436.790538094,rm
Cavardiras,7182,0,Disentis/Mustér,3982,GR,710582.01061695,174275.975890534,rm
Mumpé Medel,7183,0,Disentis/Mustér,3982,GR,707811.34936874,171890.870636722,rm
Segnas,7186,0,Disentis/Mustér,3982,GR,706266.933427836,172465.872719415,rm
Curaglia,7184,0,Medel (Lucmagn),3983,GR,708656.997495999,170132.74526142,rm
Platta,7185,0,Medel (Lucmagn),3983,GR,708331.906975742,168423.142949767,rm
Rabius,7172,0,Sumvitg,3985,GR,716158.889921203,177048.134337141,rm
Surrein,7173,0,Sumvitg,3985,GR,715494.300248303,175721.811066741,rm
S. Benedetg,7174,0,Sumvitg,3985,GR,714682.817470014,177042.926958943,rm
Sumvitg,7175,0,Sumvitg,3985,GR,714690.559160976,176317.263401649,rm
Cumpadials,7176,0,Sumvitg,3985,GR,713307.939993308,175687.344946986,rm
Disentis/Mustér,7180,0,Sumvitg,3985,GR,711732.463462371,175183.513184993,rm
Camischolas,7187,0,Tujetsch,3986,GR,701178.030873514,170980.404867265,rm
Sedrun,7188,0,Tujetsch,3986,GR,702253.901521867,170692.174250372,rm
Rueras,7189,0,Tujetsch,3986,GR,700405.366930244,170098.882868193,rm
Trun,7166,0,Trun,3987,GR,718152.71963191,177917.071418345,rm
Zignau,7167,0,Trun,3987,GR,719791.650400948,177835.858120342,rm
Schlans,7168,0,Trun,3987,GR,720436.839658316,179211.091734599,rm
Rabius,7172,0,Trun,3987,GR,716545.483615581,177445.834297902,rm
Obersaxen,7134,0,Obersaxen Mundaun,3988,GR,726957.439928239,178826.569999012,de
Flond,7137,0,Obersaxen Mundaun,3988,GR,731555.222044653,181044.9683772,rm
Surcuolm,7138,0,Obersaxen Mundaun,3988,GR,730285.698418164,179929.860778063,rm
Aarau,5000,0,Aarau,4001,AG,646060.114152075,248865.98386956,de
Aarau,5004,0,Aarau,4001,AG,646949.926622965,250196.836988202,de
Aarau Rohr,5032,0,Aarau,4001,AG,648812.907285753,250332.761544085,de
Biberstein,5023,0,Biberstein,4002,AG,648495.211482159,251880.876490187,de
Buchs AG,5033,0,Buchs (AG),4003,AG,647771.721884156,248902.222797806,de
Asp,5025,0,Densbüren,4004,AG,646020.407862004,254853.714878839,de
Densbüren,5026,0,Densbüren,4004,AG,646472.184327602,255967.872436445,de
Barmelweid,5017,0,Erlinsbach (AG),4005,AG,640091.408493241,252474.305530268,de
Erlinsbach,5018,0,Erlinsbach (AG),4005,AG,643101.197752488,250895.518801399,de
Gränichen,5722,0,Gränichen,4006,AG,650126.881144265,245284.437030802,de
Teufenthal AG,5723,0,Gränichen,4006,AG,650924.078623313,242936.346288506,de
Hirschthal,5042,0,Hirschthal,4007,AG,646704.906271075,241054.003013315,de
Rombach,5022,0,Küttigen,4008,AG,645904.788053431,250691.61518903,de
Küttigen,5024,0,Küttigen,4008,AG,645974.188275704,251535.595664462,de
Muhen,5037,0,Muhen,4009,AG,646309.923432413,242865.664187702,de
Oberentfelden,5036,0,Oberentfelden,4010,AG,644961.711601977,245409.670150753,de
Aarau,5000,0,Suhr,4012,AG,646961.918093588,248036.526527523,de
